Archivo,BRKGA,GREEDY,MHT
100-300-001.txt.salida_0,46,2,43
100-300-002.txt.salida_0,47,5,35
100-300-003.txt.salida_0,48,3,23
100-300-004.txt.salida_0,49,2,36
100-300-005.txt.salida_0,48,6,35
100-300-006.txt.salida_0,49,7,38
100-300-007.txt.salida_0,44,8,37
100-300-008.txt.salida_0,45,2,35
100-300-009.txt.salida_0,49,4,37
100-300-010.txt.salida_0,48,8,37
100-300-011.txt.salida_0,45,6,35
100-300-012.txt.salida_0,45,1,43
100-300-013.txt.salida_0,49,5,41
100-300-014.txt.salida_0,45,4,34
100-300-015.txt.salida_0,52,5,47
100-300-016.txt.salida_0,46,4,35
100-300-017.txt.salida_0,49,3,37
100-300-018.txt.salida_0,49,2,37
100-300-019.txt.salida_0,44,4,30
100-300-020.txt.salida_0,46,3,34
100-300-021.txt.salida_0,50,4,36
100-300-022.txt.salida_0,46,1,40
100-300-023.txt.salida_0,45,4,39
100-300-024.txt.salida_0,48,0,38
100-300-025.txt.salida_0,48,5,33
100-300-026.txt.salida_0,47,8,28
100-300-027.txt.salida_0,49,6,40
100-300-028.txt.salida_0,45,1,42
100-300-029.txt.salida_0,43,5,31
100-300-030.txt.salida_0,47,3,34
100-300-031.txt.salida_0,44,1,41
100-300-032.txt.salida_0,46,10,35
100-300-033.txt.salida_0,50,5,34
100-300-034.txt.salida_0,43,5,42
100-300-035.txt.salida_0,46,8,30
100-300-036.txt.salida_0,47,5,39
100-300-037.txt.salida_0,48,3,36
100-300-038.txt.salida_0,47,1,44
100-300-039.txt.salida_0,44,3,34
100-300-040.txt.salida_0,45,5,40
100-300-041.txt.salida_0,53,7,38
100-300-042.txt.salida_0,51,2,38
100-300-043.txt.salida_0,48,0,40
100-300-044.txt.salida_0,45,5,42
100-300-045.txt.salida_0,49,3,31
100-300-046.txt.salida_0,51,1,48
100-300-047.txt.salida_0,42,2,29
100-300-048.txt.salida_0,47,2,39
100-300-049.txt.salida_0,49,6,39
100-300-050.txt.salida_0,44,2,34
100-300-051.txt.salida_0,52,4,36
100-300-052.txt.salida_0,46,5,39
100-300-053.txt.salida_0,46,4,43
100-300-054.txt.salida_0,47,3,36
