inst	nstr	length	t	MHT	GREEDY	BRKGA	HYBRID
1	100	300	0.75	100	62	100	98
2	100	300	0.75	100	73	100	95
3	100	300	0.75	99	62	100	91
4	100	300	0.75	100	63	100	93
5	100	300	0.75	100	69	100	94
6	100	300	0.75	100	62	100	96
7	100	300	0.75	100	67	100	95
8	100	300	0.75	100	70	100	90
9	100	300	0.75	100	67	100	96
10	100	300	0.75	100	69	100	92
11	100	300	0.75	100	71	100	93
12	100	300	0.75	100	69	100	92
13	100	300	0.75	100	56	100	95
14	100	300	0.75	94	66	100	93
15	100	300	0.75	99	72	100	97
16	100	300	0.75	91	62	100	94
17	100	300	0.75	100	61	100	97
18	100	300	0.75	100	63	100	96
19	100	300	0.75	100	68	100	93
20	100	300	0.75	100	62	100	94
21	100	300	0.75	100	65	100	96
22	100	300	0.75	97	68	100	93
23	100	300	0.75	90	64	100	96
24	100	300	0.75	98	61	100	94
25	100	300	0.75	99	62	100	95
26	100	300	0.75	100	72	100	96
27	100	300	0.75	100	61	100	95
28	100	300	0.75	100	72	100	96
29	100	300	0.75	84	61	100	95
30	100	300	0.75	95	66	100	92
31	100	300	0.75	100	69	100	94
32	100	300	0.75	100	63	100	93
33	100	300	0.75	100	69	100	95
34	100	300	0.75	93	67	100	92
35	100	300	0.75	95	62	100	93
36	100	300	0.75	97	66	100	93
37	100	300	0.75	98	66	100	97
38	100	300	0.75	100	70	100	96
39	100	300	0.75	100	75	100	96
40	100	300	0.75	100	73	100	95
41	100	300	0.75	99	65	100	94
42	100	300	0.75	100	64	100	96
43	100	300	0.75	100	60	100	95
44	100	300	0.75	97	63	100	93
45	100	300	0.75	99	65	100	95
46	100	300	0.75	100	57	100	96
47	100	300	0.75	99	63	100	95
48	100	300	0.75	96	71	100	93
49	100	300	0.75	100	64	100	96
50	100	300	0.75	90	62	100	92
51	100	300	0.75	99	66	100	93
52	100	300	0.75	100	70	100	95
53	100	300	0.75	100	65	100	92
54	100	300	0.75	93	64	100	94
55	100	300	0.75	92	69	100	93
56	100	300	0.75	100	68	100	92
57	100	300	0.75	100	68	100	94
58	100	300	0.75	100	68	100	95
59	100	300	0.75	100	68	100	98
60	100	300	0.75	97	58	100	93
61	100	300	0.75	100	64	100	95
62	100	300	0.75	100	66	100	96
63	100	300	0.75	100	66	100	96
64	100	300	0.75	100	65	100	95
65	100	300	0.75	100	77	100	95
66	100	300	0.75	98	65	100	96
67	100	300	0.75	100	64	100	93
68	100	300	0.75	100	73	100	96
69	100	300	0.75	96	62	100	99
70	100	300	0.75	99	59	100	97
71	100	300	0.75	100	68	100	95
72	100	300	0.75	98	66	100	97
73	100	300	0.75	100	64	100	94
74	100	300	0.75	100	71	100	94
75	100	300	0.75	100	69	100	93
76	100	300	0.75	100	69	100	94
77	100	300	0.75	100	60	100	95
78	100	300	0.75	100	65	100	96
79	100	300	0.75	99	66	100	94
80	100	300	0.75	100	59	100	93
81	100	300	0.75	98	61	100	92
82	100	300	0.75	100	64	100	96
83	100	300	0.75	100	71	100	94
84	100	300	0.75	99	64	100	97
85	100	300	0.75	100	68	100	96
86	100	300	0.75	100	60	100	93
87	100	300	0.75	94	64	100	96
88	100	300	0.75	100	71	100	97
89	100	300	0.75	100	56	100	97
90	100	300	0.75	93	65	100	94
91	100	300	0.75	96	65	100	95
92	100	300	0.75	96	60	100	92
93	100	300	0.75	100	76	100	95
94	100	300	0.75	100	65	100	96
95	100	300	0.75	100	76	100	96
96	100	300	0.75	100	65	100	97
97	100	300	0.75	100	60	100	96
98	100	300	0.75	100	61	100	96
99	100	300	0.75	99	70	100	93
100	100	300	0.75	98	64	100	93
1	100	600	0.75	100	65	98	97
2	100	600	0.75	100	76	100	96
3	100	600	0.75	100	64	99	95
4	100	600	0.75	100	66	100	98
5	100	600	0.75	100	65	100	99
6	100	600	0.75	100	72	100	97
